Date,Open,High,Low,Close,Adj Close,Volume
2013-07-10,253.800003,256.299988,249.970001,251.350006,232.026733,5341890
2013-07-11,256.200012,259.980011,255.449997,257.549988,237.750061,4593290
2013-07-12,259.200012,259.700012,254.199997,258.309998,238.451660,5287195
2013-07-15,258.399994,262.989990,256.489990,261.779999,241.654892,5449990
2013-07-16,254.000000,254.000000,245.210007,246.169998,227.244949,9493130
2013-07-17,247.190002,247.199997,235.529999,238.740005,220.386154,17944220
2013-07-18,241.350006,249.520004,231.619995,247.639999,228.601929,28548405
2013-07-19,250.000000,250.600006,237.000000,238.380005,220.053833,18642230
2013-07-22,238.800003,242.160004,235.690002,240.020004,221.567749,6446280
2013-07-23,243.960007,243.960007,239.410004,240.570007,222.075485,5451370
2013-07-24,234.570007,234.570007,224.000000,225.029999,207.730164,14788645
2013-07-25,222.809998,228.960007,222.399994,225.449997,208.117859,21479325
2013-07-26,228.380005,229.369995,218.869995,221.500000,204.471542,12108980
2013-07-29,220.419998,224.169998,218.490005,219.649994,202.763748,8592030
2013-07-30,220.020004,226.520004,217.399994,218.600006,201.794479,14577145
2013-07-31,217.800003,217.800003,203.110001,206.910004,191.003189,24999165
2013-08-01,208.800003,218.580002,205.020004,217.160004,200.465179,25717725
2013-08-02,218.410004,222.500000,216.000000,220.639999,203.677643,15682345
2013-08-05,222.000000,225.800003,214.729996,224.869995,207.582458,14983120
2013-08-06,221.460007,222.000000,216.050003,217.970001,201.212921,13055665
2013-08-07,217.619995,218.479996,211.160004,213.750000,197.317337,16176110
2013-08-08,214.800003,217.960007,211.419998,217.119995,200.428268,10922345
2013-08-12,218.600006,219.979996,210.229996,214.089996,197.631210,9866865
2013-08-13,213.380005,231.800003,209.820007,228.550003,210.979538,14227315
2013-08-14,229.509995,232.500000,224.300003,229.919998,212.244232,12402745
2013-08-16,222.800003,222.800003,208.000000,209.789993,193.661774,16207615
2013-08-19,208.000000,208.000000,195.610001,197.600006,182.408936,11262170
2013-08-20,190.669998,201.449997,188.600006,196.259995,181.171936,17173380
2013-08-21,207.600006,213.559998,191.740005,195.589996,180.553452,17473350
2013-08-22,193.630005,202.000000,190.000000,193.929993,179.021042,15688855
2013-08-23,195.699997,198.169998,190.649994,196.300003,181.208847,15303680
2013-08-26,198.000000,198.869995,185.869995,186.820007,172.457672,19895135
2013-08-27,183.990005,183.990005,174.199997,175.529999,162.035614,16500450
2013-08-28,170.270004,170.800003,156.800003,167.589996,154.706009,51153445
2013-08-29,172.000000,173.500000,163.199997,170.149994,157.069214,34666870
2013-08-30,169.619995,178.220001,163.729996,166.589996,153.782898,85220080
2013-09-02,169.139999,174.699997,166.929993,172.860001,159.570877,22843345
2013-09-03,173.600006,174.850006,154.270004,156.570007,144.533234,29590015
2013-09-04,156.559998,163.399994,152.679993,160.300003,147.976440,29505260
2013-09-05,176.330002,186.990005,170.729996,185.500000,171.239136,73632590
2013-09-06,186.520004,192.589996,182.110001,190.479996,175.836304,48465115
2013-09-10,196.199997,205.139999,195.399994,199.660004,184.310562,40783530
2013-09-11,196.800003,208.570007,194.039993,205.940002,190.107758,31007555
2013-09-12,207.970001,208.100006,200.820007,203.990005,188.307663,33403740
2013-09-13,200.050003,214.600006,200.050003,211.919998,195.628021,29836370
2013-09-16,217.800003,221.539993,210.389999,217.509995,200.788269,21660575
2013-09-17,214.399994,215.789993,208.639999,210.710007,194.511047,18527690
2013-09-18,212.100006,217.119995,209.539993,215.919998,199.320511,13218535
2013-09-19,230.000000,234.559998,226.649994,228.039993,210.508743,27187920
2013-09-20,232.399994,232.740005,210.419998,220.470001,203.520706,30107545
2013-09-23,214.600006,216.979996,204.529999,206.009995,190.172379,23254975
2013-09-24,204.000000,210.600006,202.619995,205.110001,189.341568,17824475
2013-09-25,205.600006,208.399994,200.240005,206.809998,190.910873,17426325
2013-09-26,207.000000,209.899994,203.889999,206.270004,190.412399,18419130
2013-09-27,207.110001,209.699997,203.429993,206.179993,190.329300,13399860
2013-09-30,203.809998,203.970001,199.029999,201.570007,186.073700,18720980
2013-10-01,203.580002,209.940002,202.589996,208.820007,192.766342,13985425
2013-10-03,210.020004,224.600006,210.020004,220.940002,203.954590,28307155
2013-10-04,218.800003,224.139999,216.020004,218.509995,201.711411,14738720
2013-10-07,217.399994,217.779999,208.800003,214.369995,197.889679,19601900
2013-10-08,223.000000,223.800003,211.600006,213.360001,196.957321,16814600
2013-10-09,211.050003,216.960007,209.210007,215.860001,199.265137,17121925
2013-10-10,215.399994,218.580002,211.199997,213.250000,196.855774,22450835
2013-10-11,217.449997,220.779999,213.199997,219.929993,203.022232,21485650
2013-10-14,219.000000,226.389999,218.440002,221.820007,204.766937,16030130
2013-10-15,223.179993,225.199997,215.250000,216.289993,199.662064,13563985
2013-10-17,216.199997,221.669998,213.440002,219.270004,202.412994,33121345
2013-10-18,220.559998,232.199997,218.070007,231.240005,213.462753,22848835
2013-10-21,232.020004,237.179993,231.830002,235.169998,217.090607,14205925
2013-10-22,232.800003,241.990005,232.000000,240.229996,221.761612,22853540
2013-10-23,240.800003,244.600006,236.639999,242.020004,223.414001,19709625
2013-10-24,242.070007,244.940002,239.600006,241.440002,222.878586,15138355
2013-10-25,240.440002,241.160004,236.160004,238.149994,219.841522,8360810
2013-10-28,240.000000,243.779999,237.419998,238.300003,219.979996,14810540
2013-10-29,237.199997,252.300003,235.270004,250.080002,230.854355,21811705
2013-10-30,251.000000,252.000000,243.279999,244.380005,225.592560,13582310
2013-10-31,244.199997,245.960007,240.600006,244.539993,225.740250,15711585
2013-11-01,244.990005,247.929993,241.070007,243.779999,225.038681,14258565
2013-11-05,241.000000,251.479996,239.199997,245.399994,226.534149,17738400
2013-11-06,244.800003,247.960007,241.009995,242.600006,223.949402,11912900
2013-11-07,243.220001,245.919998,233.199997,234.259995,216.250549,12944240
2013-11-08,232.199997,232.720001,222.509995,223.839996,206.631653,13636750
2013-11-11,221.000000,221.720001,214.559998,215.429993,198.868164,16116270
2013-11-12,216.000000,218.479996,207.600006,209.570007,193.458694,16885065
2013-11-13,206.600006,210.580002,202.110001,206.119995,190.273926,39012215
2013-11-14,211.000000,220.490005,211.000000,219.419998,202.551453,22185795
2013-11-18,223.899994,228.449997,223.270004,227.970001,210.444122,14869295
2013-11-19,229.399994,229.960007,225.619995,227.009995,209.557922,15186525
2013-11-20,224.800003,231.179993,224.000000,226.289993,208.893295,11536220
2013-11-21,223.580002,223.600006,215.740005,217.259995,200.557495,16170540
2013-11-22,220.000000,221.270004,215.479996,216.449997,199.809769,11465075
2013-11-25,218.399994,225.000000,218.020004,223.089996,205.939270,10727185
2013-11-26,223.800003,225.559998,221.850006,223.220001,206.059296,7324655
2013-11-27,222.000000,226.149994,220.699997,224.169998,206.936264,8549025
2013-11-28,227.119995,228.960007,222.699997,224.050003,206.825500,10909630
2013-11-29,224.399994,231.979996,224.380005,231.190002,213.416580,9210385
2013-12-02,231.960007,239.240005,231.600006,238.149994,219.841522,8985375
2013-12-03,237.160004,240.000000,235.210007,238.729996,220.376923,8899090
2013-12-04,237.210007,239.800003,236.240005,238.210007,219.896912,8248745
2013-12-05,246.600006,249.990005,245.570007,248.300003,229.211212,10405365
2013-12-06,247.720001,257.799988,246.449997,255.949997,236.273087,11096255
2013-12-09,268.000000,268.519989,259.429993,260.700012,240.657944,10508465
2013-12-10,260.600006,260.600006,249.910004,252.970001,233.522171,7427500
2013-12-11,250.399994,256.760010,248.029999,254.639999,235.063797,9152360
2013-12-12,253.199997,253.860001,248.839996,249.539993,230.355865,6403500
2013-12-13,246.000000,249.800003,244.009995,247.960007,228.897354,7975630
2013-12-16,246.410004,254.380005,245.940002,252.279999,232.885223,8426820
2013-12-17,254.229996,256.059998,249.669998,251.220001,231.906723,6818380
2013-12-18,250.020004,261.000000,249.600006,256.570007,236.845428,10330635
2013-12-19,259.160004,259.799988,248.600006,251.399994,232.072876,11220600
2013-12-20,250.000000,256.799988,249.949997,255.570007,235.922318,7252380
2013-12-23,256.200012,260.899994,256.200012,258.250000,238.396271,5821480
2013-12-24,259.200012,259.600006,255.699997,256.589996,236.863892,5070345
2013-12-26,257.559998,263.799988,255.830002,259.410004,239.467087,13471165
2013-12-27,262.000000,262.859985,258.059998,258.899994,238.996292,6232180
2013-12-30,260.000000,261.200012,256.609985,257.250000,237.473145,7064845
2013-12-31,258.390015,260.549988,255.279999,259.910004,239.928665,6365405
2014-01-01,260.299988,261.000000,257.640015,258.440002,238.571671,2849425
2014-01-02,258.399994,265.000000,252.669998,254.460007,234.897644,12972060
2014-01-03,251.600006,253.899994,249.119995,252.179993,232.792908,12018740
2014-01-06,251.509995,252.399994,248.320007,251.259995,231.943649,9181445
2014-01-07,251.500000,253.160004,243.100006,246.850006,227.872681,15100310
2014-01-08,248.000000,249.000000,241.429993,242.350006,223.718643,13901845
2014-01-09,241.000000,242.110001,235.240005,236.970001,218.752228,25553735
2014-01-10,238.789993,239.309998,231.779999,232.809998,214.912048,19877740
2014-01-13,233.000000,240.000000,233.000000,236.979996,218.761459,8470360
2014-01-14,237.000000,238.710007,233.850006,235.410004,217.312149,12100565
2014-01-15,237.000000,237.600006,233.279999,235.660004,217.542938,14202760
2014-01-16,237.000000,239.500000,233.740005,235.229996,217.146011,18979890
2014-01-17,235.600006,237.600006,229.000000,230.589996,212.862717,18932820
2014-01-20,228.539993,233.600006,226.460007,232.639999,214.755112,9875240
2014-01-21,232.979996,238.440002,231.699997,237.710007,219.435364,10979910
2014-01-22,237.199997,240.479996,234.619995,237.770004,219.490738,11839660
2014-01-23,236.649994,244.039993,236.270004,243.199997,224.503281,15027160
2014-01-24,240.600006,245.759995,239.000000,240.919998,222.398575,14064340
2014-01-27,235.199997,236.720001,231.000000,232.220001,214.367401,10879550
2014-01-28,231.399994,235.800003,223.059998,224.350006,207.102417,12651355
2014-01-29,226.059998,229.990005,224.240005,228.050003,210.517990,10925525
2014-01-30,224.600006,225.740005,221.000000,221.759995,204.711548,11477500
2014-01-31,222.639999,225.399994,222.070007,224.589996,207.323990,5722790
2014-02-03,222.419998,226.779999,222.139999,224.779999,207.499374,6931690
2014-02-04,221.350006,225.470001,220.199997,224.360001,207.111664,8545405
2014-02-05,225.000000,226.000000,222.300003,224.740005,207.462463,7306550
2014-02-06,225.020004,227.199997,219.710007,220.589996,203.631500,10324800
2014-02-07,224.009995,225.880005,222.139999,225.089996,207.785538,6262595
2014-02-10,226.389999,227.880005,222.410004,223.789993,206.585464,4396885
2014-02-11,224.669998,226.360001,223.279999,224.190002,206.954727,4572215
2014-02-12,226.000000,226.600006,222.869995,223.919998,206.705490,7384095
2014-02-13,224.039993,224.960007,219.300003,220.300003,203.363785,5899360
2014-02-14,221.800003,222.199997,216.520004,220.610001,203.649948,8778435
